Team_to,Season,country_name,fees
Bournemouth,2017-2018,England,34300000
West Ham United,2017-2018,England,32500000
Southampton,2017-2018,England,55400000
Watford,2017-2018,England,51200000
Stoke City,2017-2018,England,43100000
Wolverhampton Wanderers,2017-2018,England,17900000
Middlesbrough,2017-2018,England,35700000
Burnley,2017-2018,England,25500000
West Bromwich Albion,2017-2018,England,43600000
Newcastle United,2017-2018,England,28800000
Fulham,2017-2018,England,9130000
Reading,2017-2018,England,8000000
Manchester City,2018-2019,England,67800000
Liverpool,2018-2019,England,182200000
Manchester United,2018-2019,England,81000000
Chelsea,2018-2019,England,57000000
Everton,2018-2019,England,59400000
West Ham United,2018-2019,England,91000000
Fulham,2018-2019,England,56200000
Arsenal,2018-2019,England,49000000
Southampton,2018-2019,England,62250000
Leicester City,2018-2019,England,61000000
Wolverhampton Wanderers,2018-2019,England,43000000
Stoke City,2018-2019,England,37500000
Watford,2018-2019,England,18000000
Bournemouth,2018-2019,England,23300000
Middlesbrough,2018-2019,England,13700000
West Bromwich Albion,2018-2019,England,11850000
Paris Saint-Germain,2000-2001,France,47950000
Stade Rennais FC,2000-2001,France,34800000
Olympique de Marseille,2001-2002,France,11500000
Paris Saint-Germain,2001-2002,France,18100000
Olympique Lyonnais,2001-2002,France,8800000
AS Monaco,2001-2002,France,13000000
Girondins de Bordeaux,2001-2002,France,12000000
FC Nantes,2001-2002,France,3800000
Stade Rennais FC,2001-2002,France,6800000
RC Lens,2001-2002,France,1800000
Paris Saint-Germain,2002-2003,France,11000000
Girondins de Bordeaux,2002-2003,France,10500000
FC Nantes,2002-2003,France,5500000
Stade Rennais FC,2002-2003,France,6500000
AS Monaco,2002-2003,France,4100000
Olympique Lyonnais,2002-2003,France,3900000
RC Lens,2002-2003,France,2000000
AJ Auxerre,2002-2003,France,1000000
Olympique Lyonnais,2003-2004,France,21300000
Olympique de Marseille,2003-2004,France,14750000
Girondins de Bordeaux,2003-2004,France,9500000
AJ Auxerre,2003-2004,France,4000000
Paris Saint-Germain,2003-2004,France,7900000
AS Monaco,2003-2004,France,3200000
Stade Rennais FC,2003-2004,France,1500000
Paris Saint-Germain,2004-2005,France,25000000
Olympique de Marseille,2004-2005,France,24000000
AS Monaco,2004-2005,France,13000000
Olympique Lyonnais,2004-2005,France,26250000
FC Sochaux-Montbéliard,2004-2005,France,3000000
Toulouse FC,2004-2005,France,3000000
Standard Liège,2004-2005,France,3000000
Stade Rennais FC,2004-2005,France,4200000
RC Lens,2004-2005,France,2000000
Olympique Lyonnais,2005-2006,France,45800000
Paris Saint-Germain,2005-2006,France,14500000
Olympique de Marseille,2005-2006,France,13500000
Stade Rennais FC,2005-2006,France,9000000
AS Monaco,2005-2006,France,6000000
