Team_to,Season,fees
Fulham,2004-2005,12000000
Spartak Moscow,2004-2005,15900000
Olympique Lyonnais,2004-2005,26250000
Lazio,2004-2005,8000000
FC Porto,2004-2005,42300000
Shakhtar D.,2004-2005,12600000
Dinamo Moscow,2004-2005,11000000
Queens Park Rangers,2004-2005,10750000
Tottenham Hotspur,2004-2005,33000000
Middlesbrough,2004-2005,6750000
CSKA Moscow,2004-2005,8450000
Norwich City,2004-2005,6000000
Real Betis,2004-2005,9500000
RC Deportivo de La Coruña,2004-2005,5000000
Galatasaray,2004-2005,5000000
SV Werder Bremen,2004-2005,5000000
US Palermo,2004-2005,10400000
Arsenal,2004-2005,11700000
Atlético Madrid,2004-2005,11300000
Dynamo Kyiv,2004-2005,5000000
AFC Ajax,2004-2005,4900000
Besiktas,2004-2005,8000000
PSV Eindhoven,2004-2005,9500000
Real Sociedad,2004-2005,5500000
Aston Villa,2004-2005,8840000
SSC Napoli,2004-2005,4000000
Charlton,2004-2005,10650000
Hamburger SV,2004-2005,5300000
Bayer 04 Leverkusen,2004-2005,3500000
Sevilla FC,2004-2005,5600000
Inter,2004-2005,5950000
Catania,2004-2005,3200000
Villarreal CF,2004-2005,3200000
FC Sochaux-Montbéliard,2004-2005,3000000
Toulouse FC,2004-2005,3000000
Standard Liège,2004-2005,3000000
VfL Wolfsburg,2004-2005,5000000
Southampton,2004-2005,6000000
Leeds,2004-2005,2750000
Tiburones Rojos,2004-2005,2500000
Portsmouth,2004-2005,2500000
Stade Rennais FC,2004-2005,4200000
Atlético-PR,2004-2005,2500000
Boca Juniors,2004-2005,2400000
West Bromwich Albion,2004-2005,4000000
Crystal Palace,2004-2005,2250000
Blackburn Rovers,2004-2005,2250000
Austria Vienna,2004-2005,2000000
RC Lens,2004-2005,2000000
Wolverhampton Wanderers,2004-2005,3800000
Al-Nasr,2004-2005,2000000
Bari,2004-2005,2000000
FC Basel,2004-2005,1750000
SL Benfica,2004-2005,1750000
Hajduk Split,2004-2005,1500000
VfB Stuttgart,2004-2005,1500000
Helsingborg,2004-2005,1500000
Hertha BSC Berlin,2004-2005,1500000
Chelsea,2005-2006,91200000
Real Madrid CF,2005-2006,85500000
Newcastle United,2005-2006,39000000
AC Milan,2005-2006,33500000
Juventus,2005-2006,27700000
Dinamo Moscow,2005-2006,22500000
Inter,2005-2006,28000000
Olympique Lyonnais,2005-2006,45800000
Tottenham Hotspur,2005-2006,30910000
Arsenal,2005-2006,45500000
Valencia CF,2005-2006,20000000
Corinthians,2005-2006,11800000
West Ham United,2005-2006,18890000
Liverpool,2005-2006,31560000
FC Porto,2005-2006,12550000
Fiorentina,2005-2006,27000000
Sevilla FC,2005-2006,21100000
Atlético Madrid,2005-2006,24000000
AFC Ajax,2005-2006,14300000
FC Bayern Munich,2005-2006,8500000
Paris Saint-Germain,2005-2006,14500000
Manchester City,2005-2006,12100000
US Palermo,2005-2006,8000000
Manchester United,2005-2006,14000000
Fenerbahce,2005-2006,8000000
Shakhtar D.,2005-2006,7800000
VfB Stuttgart,2005-2006,7500000
Blackburn Rovers,2005-2006,7500000
Olympique de Marseille,2005-2006,13500000
FC Schalke 04,2005-2006,11900000
Wigan Athletic,2005-2006,10120000
Villarreal CF,2005-2006,6000000
Stade Rennais FC,2005-2006,9000000
AS Monaco,2005-2006,6000000
Lazio,2005-2006,6000000
Everton,2005-2006,10050000
Hamburger SV,2005-2006,7600000
SV Werder Bremen,2005-2006,12400000
PSV Eindhoven,2005-2006,5000000
CSKA Moscow,2005-2006,5000000
Toulouse FC,2005-2006,8400000
AJ Auxerre,2005-2006,5000000
Udinese Calcio,2005-2006,5000000
Cagliari Calcio,2005-2006,5000000
Aston Villa,2005-2006,4700000
Birmingham City,2005-2006,4500000
Spartak Moscow,2005-2006,7000000
Charlton,2005-2006,4500000
Ittihad,2005-2006,4500000
West Bromwich Albion,2005-2006,6750000
Celtic,2005-2006,7300000
Parma,2005-2006,4150000
Saturn,2005-2006,4000000
RB Salzburg,2005-2006,4000000
RCD Espanyol,2005-2006,13500000
VfL Wolfsburg,2005-2006,4000000
Torino,2005-2006,3600000
Real Zaragoza,2005-2006,3500000
Sporting CP,2005-2006,5500000
Real Betis,2005-2006,5500000
Le Mans FC,2005-2006,3500000
RCD Mallorca,2005-2006,3500000
Arsenal U18,2005-2006,3200000
RC Lens,2005-2006,6000000
AS Saint-Étienne,2005-2006,6000000
Portsmouth,2005-2006,3000000
Loko Moscow,2005-2006,10400000
Athletic Club de Bilbao,2005-2006,3000000
Middlesbrough,2005-2006,2710000
Olympiacos,2005-2006,2700000
FC Nantes,2005-2006,2700000
Urawa Reds,2005-2006,2500000
Bor. M'gladbach,2005-2006,2500000
RSC Anderlecht,2005-2006,2500000
Manisaspor,2005-2006,2500000
OGC Nice,2005-2006,2500000
Feyenoord,2005-2006,2500000
Real Sociedad,2005-2006,2500000
Al Sadd,2005-2006,2500000
Fulham,2005-2006,4300000
FC Sochaux-Montbéliard,2005-2006,2000000
Panathinaikos,2005-2006,2000000
Flamengo,2005-2006,2000000
Tom Tomsk,2005-2006,2000000
Vitesse,2005-2006,2000000
Chelsea,2006-2007,67900000
Manchester United,2006-2007,27200000
Real Madrid CF,2006-2007,103000000
Valencia CF,2006-2007,47500000
Inter,2006-2007,46600000
Atlético Madrid,2006-2007,41700000
Liverpool,2006-2007,42700000
Newcastle United,2006-2007,31500000
Tottenham Hotspur,2006-2007,57800000
AC Milan,2006-2007,38050000
West Ham United,2006-2007,58800000
FC Barcelona,2006-2007,26000000
Aston Villa,2006-2007,23200000
AS Roma,2006-2007,16000000
Bolton Wanderers,2006-2007,15000000
Real Zaragoza,2006-2007,16000000
Villarreal CF,2006-2007,22700000
Hamburger SV,2006-2007,20300000
FC Bayern Munich,2006-2007,24000000
Arsenal,2006-2007,15000000
Girondins de Bordeaux,2006-2007,9000000
PSV Eindhoven,2006-2007,12000000
Ittihad,2006-2007,9000000
Sevilla FC,2006-2007,12900000
Middlesbrough,2006-2007,8900000
US Palermo,2006-2007,22750000
Fiorentina,2006-2007,14800000
Corinthians,2006-2007,8000000
Wigan Athletic,2006-2007,18900000
Fenerbahce,2006-2007,19000000
OGC Nice,2006-2007,11500000
Zenit S-Pb,2006-2007,12000000
Olympique Lyonnais,2006-2007,21950000
Everton,2006-2007,6500000
Bayer 04 Leverkusen,2006-2007,9280000
Real Betis,2006-2007,11000000
Racing,2006-2007,6000000
SV Werder Bremen,2006-2007,13700000
AS Saint-Étienne,2006-2007,6000000
RCD Mallorca,2006-2007,9000000
Birmingham City,2006-2007,10450000
Athletic Club de Bilbao,2006-2007,6000000
AS Monaco,2006-2007,12000000
Stade Rennais FC,2006-2007,10000000
Charlton,2006-2007,14990000
Sampdoria,2006-2007,8250000
AJ Auxerre,2006-2007,12300000
Paris Saint-Germain,2006-2007,9000000
Toulouse FC,2006-2007,5000000
Celtic,2006-2007,8400000
RC Deportivo de La Coruña,2006-2007,4640000
Le Mans FC,2006-2007,4500000
Portsmouth,2006-2007,4500000
Fulham,2006-2007,11250000
Reading,2006-2007,4500000
Al-Ain FC,2006-2007,4500000
Torino,2006-2007,4100000
RC Lens,2006-2007,7100000
Blackburn Rovers,2006-2007,7080000
Juventus,2006-2007,4000000
CSKA Moscow,2006-2007,4000000
Club Brugge,2006-2007,4000000
RC Celta de Vigo,2006-2007,4000000
Sheffield Utd.,2006-2007,7250000
River Plate,2006-2007,7300000
Besiktas,2006-2007,3750000
Crystal Palace,2006-2007,3750000
