Team_to,Position,country_name,fees
SSC Napoli,Right Winger,Italy,34500000
Toulouse FC,,France,34200000
Bournemouth,Centre-Back,England,34100000
Everton,Defensive Midfield,England,34050000
1. FC Köln,,Germany,34000000
Arsenal,Second Striker,England,34000000
Girondins de Bordeaux,Centre-Forward,France,34000000
FC Bayern Munich,Left-Back,Germany,33950000
Inter,Second Striker,Italy,33800000
Villarreal CF,Left Winger,Spain,33750000
Hamburger SV,Attacking Midfield,Germany,33600000
Burnley,Centre-Forward,England,33500000
Olympique Lyonnais,Left-Back,France,33400000
West Bromwich Albion,Right Winger,England,33300000
Hamburger SV,Centre-Forward,Germany,33100000
FC Twente,,Netherlands,33000000
Olympique Lyonnais,Left Winger,France,33000000
Chelsea,Goalkeeper,England,32950000
Wolverhampton Wanderers,Centre-Forward,England,32950000
West Bromwich Albion,Centre-Back,England,32600000
Wigan Athletic,Centre-Forward,England,32350000
Athletic Club de Bilbao,Centre-Back,Spain,32000000
Atlético Madrid,Attacking Midfield,Spain,32000000
Inter,Left Winger,Italy,32000000
Olympique de Marseille,Right Winger,France,32000000
SSC Napoli,Goalkeeper,Italy,31950000
Hannover 96,,Germany,31900000
US Palermo,Centre-Back,Italy,31850000
US Palermo,Central Midfield,Italy,31800000
Stoke City,Right Winger,England,31500000
Atlético Madrid,Second Striker,Spain,31000000
RC Celta de Vigo,,Spain,31000000
Real Madrid CF,Goalkeeper,Spain,30750000
Tottenham Hotspur,Goalkeeper,England,30290000
FC Bayern Munich,Goalkeeper,Germany,30000000
SL Benfica,Defensive Midfield,Portugal,30000000
Blackburn Rovers,Centre-Forward,England,29980000
Valencia CF,Right Winger,Spain,29800000
Crystal Palace,Left-Back,England,29630000
Stade Rennais FC,Left Winger,France,29500000
SV Werder Bremen,Attacking Midfield,Germany,29500000
Sunderland,Attacking Midfield,England,29300000
Birmingham City,Centre-Forward,England,29270000
AS Roma,Defensive Midfield,Italy,29250000
Bournemouth,Centre-Forward,England,29150000
Aston Villa,Left-Back,England,29100000
Crystal Palace,Central Midfield,England,29040000
Chelsea,Left Midfield,England,29000000
Leicester City,Central Midfield,England,29000000
Manchester City,Second Striker,England,29000000
Parma,Central Midfield,Italy,29000000
Sevilla FC,Central Midfield,Spain,29000000
Watford,Central Midfield,England,29000000
Real Zaragoza,Centre-Forward,Spain,28950000
Southampton,Central Midfield,England,28950000
Bologna,Centre-Forward,Italy,28800000
Valencia CF,Attacking Midfield,Spain,28750000
Hull City,Central Midfield,England,28600000
Fiorentina,Defensive Midfield,Italy,28500000
Udinese Calcio,Central Midfield,Italy,28500000
1. FSV Mainz 05,,Germany,28300000
Hull City,Centre-Forward,England,28300000
Wolverhampton Wanderers,Right Winger,England,28300000
Bolton Wanderers,Centre-Forward,England,28200000
Lazio,Second Striker,Italy,28200000
Sporting CP,Centre-Forward,Portugal,28130000
Lazio,Centre-Back,Italy,28000000
Olympique de Marseille,Central Midfield,France,28000000
FC Schalke 04,Central Midfield,Germany,27800000
Swansea City,Left Winger,England,27800000
AC Milan,Left-Back,Italy,27500000
Atlético Madrid,Goalkeeper,Spain,27500000
Newcastle United,Right Midfield,England,27500000
Fiorentina,Attacking Midfield,Italy,27300000
AS Monaco,Left-Back,France,27100000
1. FC Köln,Centre-Forward,Germany,27000000
Hamburger SV,Left Winger,Germany,27000000
Torino,Centre-Forward,Italy,27000000
West Ham United,Attacking Midfield,England,27000000
Norwich City,Centre-Forward,Italy,26800000
Sevilla FC,Attacking Midfield,Spain,26800000
VfB Stuttgart,Centre-Forward,Germany,26800000
SL Benfica,Centre-Back,Portugal,26730000
AFC Ajax,Left-Back,Netherlands,26500000
Girondins de Bordeaux,Attacking Midfield,France,26500000
Real Betis,Defensive Midfield,Spain,26500000
Genoa,Right-Back,Italy,26380000
Arsenal,Right-Back,England,26200000
Aston Villa,Left Midfield,England,26200000
Sporting CP,Central Midfield,Portugal,26150000
Tottenham Hotspur,Left-Back,England,26150000
Villarreal CF,Defensive Midfield,Spain,26000000
VfL Wolfsburg,Left-Back,Germany,25500000
Aston Villa,Right Winger,England,25000000
Leicester City,Attacking Midfield,England,25000000
RC Deportivo de La Coruña,Central Midfield,Spain,24900000
Hamburger SV,Defensive Midfield,Germany,24700000
FC Porto,Left-Back,Portugal,24600000
FC Schalke 04,Centre-Back,Germany,24500000
Genoa,Centre-Back,Italy,24500000
Genoa,Defensive Midfield,Italy,24500000
Sunderland,Defensive Midfield,England,24300000
AS Monaco,Right-Back,France,24000000
Athletic Club de Bilbao,Left-Back,Spain,24000000
Real Madrid CF,Left Winger,Spain,24000000
SL Benfica,Left Winger,Portugal,24000000
Sunderland,Right Winger,England,24000000
RC Lens,,France,23900000
Southampton,Goalkeeper,England,23800000
Arsenal,Left-Back,England,23500000
AS Roma,Left-Back,Italy,23500000
Aston Villa,Defensive Midfield,England,23340000
Middlesbrough,Central Midfield,England,23300000
Lazio,Defensive Midfield,Italy,23280000
Sampdoria,Central Midfield,Italy,23200000
Atalanta,Central Midfield,Italy,23000000
Genoa,Left-Back,Italy,23000000
Málaga CF,Central Midfield,Spain,23000000
RCD Mallorca,,Spain,23000000
TSG 1899 Hoffenheim,Left Winger,Germany,23000000
Valencia CF,Defensive Midfield,Spain,23000000
VfL Wolfsburg,Second Striker,Germany,23000000
Celtic,Centre-Forward,Scotland,22700000
Real Sociedad,Centre-Forward,Spain,22700000
Brescia,Centre-Forward,Italy,22500000
Lazio,Central Midfield,Italy,22500000
Real Sociedad,Right Winger,Spain,22500000
AZ Alkmaar,,Netherlands,22450000
AJ Auxerre,,France,22300000
